"","STREET_ID","left_begin","left_end","right_begin","right_end","STREET","longitude","latitude","scaled_Count_Less1"
"22",13012402,0,0,212,284,"ROSS PARK",-76.144987887301,43.0757575299178,3.65934065934066
"23",12571849,2201,2299,2200,2298,"S GEDDES ST",-76.1743596357527,43.0215054177397,1.18681318681319
"24",13013093,2223,2225,2224,2224,"S GEDDES ST",-76.1739557454916,43.0195504176336,0.989010989010989
"25",13010277,101,199,0,0,"SEDGWICK DR",-76.1286616957721,43.0620846475563,4.94505494505495
"26",13010278,91,99,90,98,"BRATTLE RD",-76.1297895620125,43.0633046572019,5.34065934065934
"27",13009780,51,99,0,0,"ERIE BLVD W FROM SB WEST ST RAMP",-76.1597610115973,43.049545445413,7.81318681318681
"28",13018814,791,799,790,798,"IRVING AVE",-76.1380129786558,43.0394259677763,4.64835164835165
"29",13018815,0,0,0,0,"SILVERMAN DRWY",-76.1380230277257,43.0393775009547,4.45054945054945
"30",12576581,201,399,200,398,"FERNDALE DR",-76.1460110048628,43.0054777538857,1.78021978021978
"31",13001390,201,211,200,210,"ROSS PARK",-76.1448106671951,43.0755508284971,3.75824175824176
"32",12580645,701,713,700,712,"WADSWORTH ST",-76.1393746887819,43.0766565649554,2.96703296703297
"33",13001371,11,19,10,18,"SCHILLER PARK RD",-76.137027606565,43.0669071054636,6.82417582417582
"34",12580670,2001,2099,2000,2098,"COURT ST",-76.1421077603049,43.0807180041387,2.07692307692308
"35",12580605,1601,1617,1600,1698,"COURT ST",-76.1455465352703,43.0788194213885,2.17582417582418
"36",12580196,201,299,200,206,"FIRST NORTH ST",-76.1447989294183,43.0676785834069,7.21978021978022
"37",12580653,317,399,318,398,"DARLINGTON RD",-76.1364556540981,43.0764649536904,2.76923076923077
"38",12575534,401,405,400,406,"WILLUMAE DR",-76.1565934430163,43.0787009380571,3.36263736263736
"39",12580482,101,105,100,106,"BRONX AVE",-76.1340797160402,43.0734725384058,3.26373626373626
"40",13020528,151,189,0,0,"SKYTOP RD",-76.1238589088674,43.0207525827815,1.08791208791209
"41",13020529,191,199,190,198,"SKYTOP RD",-76.1233258680301,43.0189387939601,1.08791208791209
"42",13009779,0,0,50,98,"ERIE BLVD W FROM SB WEST ST RAMP",-76.1597610115973,43.049545445413,7.81318681318681
"43",13012406,301,315,0,0,"FIRST NORTH ST",-76.1453146321027,43.067902798434,7.21978021978022
"44",13001135,1525,1531,1526,1532,"EB I 690",-76.1658481105804,43.0556039191669,7.51648351648352
"45",12576654,301,399,300,398,"LAFAYETTE RD",-76.1306775633171,42.994917159423,0.692307692307692
"46",12580273,101,199,100,198,"WARHAM ST",-76.1430612493005,43.0710763189037,6.52747252747253
"47",12575544,1103,1199,1102,1198,"LEMOYNE AVE",-76.1565281607589,43.0787557859879,3.46153846153846
"48",12580668,201,299,200,298,"HARDING ST",-76.1398917247517,43.079169214792,2.47252747252747
"49",12580310,1509,1525,1500,1512,"GRANT BLVD",-76.137152885472,43.0723711572131,4.35164835164835
"50",13010279,201,299,0,0,"SEDGWICK DR",-76.1297895620125,43.0633046572019,5.34065934065934
"51",12580687,101,111,100,110,"WILMORE PL",-76.1394767506154,43.080926321008,2.07692307692308
"52",12580353,301,389,300,388,"FARMER ST",-76.1339407842783,43.0644268933632,6.32967032967033
"53",12573647,811,817,810,816,"S WEST ST",-76.1575633506819,43.0420702567592,6.23076923076923
"54",12580150,101,199,100,198,"SPRING LN",-76.1518453242597,43.068154636179,7.61538461538461
"55",12580604,101,199,100,198,"KUHL AVE",-76.1428293328615,43.0769223134751,2.76923076923077
"56",13002312,1,49,2,48,"ERIE BLVD W FROM SB WEST ST RAMP",-76.1590816721541,43.0500999370948,8.10989010989011
"57",12580781,201,221,200,220,"RIVOLI AVE",-76.1345314654061,43.0788473806267,2.47252747252747
"58",12575498,2835,2899,2834,2898,"GRANT BLVD",-76.1568444169378,43.0756614956249,4.45054945054945
"59",12580307,301,399,300,364,"WADSWORTH ST",-76.139029640232,43.0722814871443,4.64835164835165
"60",13028318,1803,1803,1802,1802,"TEALL AVE",-76.1231658821308,43.0725845443502,2.96703296703297
"61",12580669,201,299,200,298,"MAPLEHURST AVE",-76.1392018246205,43.079709181517,2.47252747252747
"62",12580685,701,799,700,798,"DARLINGTON RD",-76.1377123591686,43.0796956252854,2.47252747252747
"63",12580290,1853,1899,1848,1898,"GRANT BLVD",-76.1412231796773,43.0721762566817,6.03296703296703
"64",13001275,1,33,2,32,"HARBORSIDE DR",-76.1711239400071,43.0672528680064,3.85714285714286
"65",13013282,8341,8401,8340,8400,"SB I 81",-76.1404315487123,43.0267543329164,2.96703296703297
"66",12580276,1301,1309,1300,1312,"HIGHLAND ST",-76.141958414192,43.0705307425987,6.32967032967033
"67",12575175,1101,1199,1100,1198,"N TOWNSEND ST",-76.1528592160236,43.0622643166171,8.30769230769231
"68",12575556,301,399,300,398,"STEDMAN ST",-76.1548677414211,43.0808799554045,2.47252747252747
"69",13001382,61,79,60,78,"SCHILLER PARK RD",-76.1389696931068,43.0689824312449,6.62637362637363
"70",13018158,1541,1541,1540,1540,"WB I 690",-76.1631135297135,43.0554432320181,8.01098901098901
"71",12581110,701,799,700,798,"TYSON PL",-76.1054697292614,43.0708213303777,2.27472527472527
"72",12580664,1901,1999,1900,1998,"COURT ST",-76.1429475264668,43.0802496384942,1.97802197802198
"73",13010284,401,415,0,0,"SEDGWICK DR",-76.1318894265177,43.0656187372126,4.94505494505495
"74",13001431,327,399,326,398,"TAFT AVE",-76.1149702650111,43.0755652378445,2.27472527472527
"75",12575483,701,799,700,798,"WOLF ST",-76.1608689135842,43.075710459519,3.46153846153846
"76",12580155,701,899,700,898,"SPRING ST",-76.1498380683742,43.0681641413389,7.31868131868132
"77",12580684,801,899,800,898,"DARLINGTON RD",-76.1384928437923,43.0802358561307,2.47252747252747
"78",12575542,1101,1199,1100,1198,"WOLF ST",-76.1571670240717,43.0804911882086,2.47252747252747
"79",12580683,601,699,600,698,"HILLSIDE ST",-76.1392018246205,43.079709181517,2.47252747252747
"80",12573974,101,119,100,118,"SALT ST",-76.152375755784,43.0559523086187,8.20879120879121
"81",13001128,1487,1491,1486,1490,"WB I 690",-76.1735251820805,43.0561555549861,2.47252747252747
"82",12580661,401,499,400,498,"HILLSIDE ST",-76.1406053698114,43.0786093929048,2.47252747252747
"83",12580473,609,699,612,698,"MERTENS AVE",-76.1331557790818,43.0712808377896,3.56043956043956
"84",12580270,1201,1201,1200,1200,"HIGHLAND ST",-76.1420450062753,43.0696065412502,6.32967032967033
"85",12575568,577,597,576,596,"SEVENTH NORTH ST",-76.1596299623829,43.084154642989,1.18681318681319
"86",12580673,201,233,200,232,"HUNTLEY ST",-76.1395021927337,43.077804035565,2.67032967032967
"87",12580686,701,719,700,720,"HILLSIDE ST",-76.1384928437923,43.0802358561307,2.47252747252747
"88",12580578,201,299,200,228,"CADILLAC ST",-76.1513032520763,43.0784290131661,3.65934065934066
"89",12580633,101,121,100,122,"PERSHING AVE",-76.1391778856983,43.074182096198,3.65934065934066
"90",12575133,601,725,700,724,"GENANT DR",-76.1582226551007,43.0619331290872,8.6043956043956
"91",12580206,801,899,800,898,"POND ST",-76.148962125934,43.0693624256203,7.02197802197802
"92",12580205,701,717,700,712,"FIRST NORTH ST",-76.148962125934,43.0693624256203,7.02197802197802
"93",13001316,301,301,300,398,"NBT BANK PKWY",-76.1650525044908,43.0765689470829,2.47252747252747
"94",12580274,1401,1423,1404,1418,"BUTTERNUT ST",-76.1430612493005,43.0710763189037,6.52747252747253
"95",12575518,0,0,900,998,"COURT ST",-76.1535069377827,43.074723575033,5.83516483516483
"96",12575532,1001,1099,1000,1098,"LEMOYNE AVE",-76.1571416224033,43.0779590476192,3.56043956043956
"97",12575533,407,499,408,498,"WILLUMAE DR",-76.1572612323482,43.0789619833164,3.26373626373626
"98",12581113,201,299,200,298,"N MIDLER AVE",-76.1054697292614,43.0708213303777,2.27472527472527
"99",12580624,101,199,100,198,"BERKSHIRE AVE",-76.1426464966966,43.0756519644305,3.56043956043956
"100",13010280,391,399,390,398,"FARMER ST",-76.1303900213813,43.0645909223125,5.14285714285714
"101",13001264,69,69,68,68,"ONONDAGA LAKE PKWY TO DESTINY RAMP",-76.1733864808768,43.0754312446667,2.07692307692308
"102",12580784,479,479,478,478,"PLEASANTVIEW AVE",-76.1345314654061,43.0788473806267,2.47252747252747
"103",12580778,101,199,100,198,"RIVOLI AVE",-76.1355155854418,43.0788120696268,2.47252747252747
"104",12580652,243,299,242,298,"BRIGGS ST",-76.1379992206699,43.0771416036678,2.67032967032967
"105",13010282,99,99,98,98,"HAMPSHIRE RD",-76.1318894265177,43.0656187372126,4.94505494505495
"106",12580665,101,117,100,118,"ARDMORE PL",-76.143767840193,43.0808245395252,1.78021978021978
"107",12575482,701,799,700,798,"SECOND NORTH ST",-76.1608689135842,43.075710459519,3.46153846153846
"108",12581115,701,715,700,798,"COUGHLIN AVE",-76.10563020464,43.07366954271,2.17582417582418
"109",12580452,0,0,500,506,"SEDGWICK DR",-76.1328710265698,43.0676452481481,4.64835164835165
"110",12580647,801,809,730,798,"WADSWORTH ST",-76.1394391704186,43.0774939160835,2.67032967032967
"111",12580635,101,199,100,198,"LISTMAN AVE",-76.1392128439416,43.0745953388848,3.75824175824176
"112",12580709,801,899,800,898,"CADILLAC ST",-76.1460245579901,43.0823870665655,1.58241758241758
"113",12580706,1201,1241,1200,1240,"WADSWORTH ST",-76.1461080716682,43.08244115931,1.58241758241758
"114",12580609,601,699,600,698,"CADILLAC ST",-76.1475023142681,43.0814225591335,1.78021978021978
"115",12580708,1121,1189,1120,1188,"WADSWORTH ST",-76.1452055969352,43.0818219477017,1.68131868131868
"116",13009743,1623,1625,1622,1624,"LEMOYNE AVE",-76.1474532437726,43.0846342302647,1.48351648351648
"117",12580311,1501,1507,1414,1498,"GRANT BLVD",-76.1366908236181,43.0723947229973,4.05494505494505
"118",12575519,101,199,100,198,"BRACE ST",-76.1531171825011,43.0751634234496,5.43956043956044
"119",12580463,301,399,300,398,"WENDELL TER",-76.1297185923451,43.0682662270971,3.06593406593407
"120",12575497,801,899,800,898,"BEAR ST",-76.1577332516762,43.0744459012794,5.14285714285714
"121",12580143,513,527,512,528,"CARBON ST",-76.148860524436,43.0662719292451,7.51648351648352
"122",12580626,101,199,110,198,"HILLSIDE ST",-76.1437355597254,43.0762590821127,3.06593406593407
"123",13001395,0,0,0,0,"LEMOYNE AVE SERVICE",-76.1477972468633,43.0836274090809,1.78021978021978
"124",12581017,151,199,150,198,"EASTWOOD RD",-76.1146213253484,43.0695112790207,2.27472527472527
"125",12575229,2857,2899,2858,2898,"LODI ST",-76.1668879168537,43.0696189405908,4.05494505494505
"126",12580641,401,499,400,498,"LISTMAN AVE",-76.136378131592,43.0747360595759,3.26373626373626
"127",12580475,1313,1399,1312,1324,"GRANT BLVD",-76.1350120757148,43.0724762155961,3.65934065934066
"128",12580640,301,399,300,398,"LISTMAN AVE",-76.1373371417055,43.0746850159836,3.56043956043956
"129",12580616,1027,1099,1028,1098,"WADSWORTH ST",-76.143767840193,43.0808245395252,1.78021978021978
"130",13001317,201,299,200,298,"TEX SIMONE DR",-76.1650525044908,43.0765689470829,2.47252747252747
"131",12580630,101,199,100,198,"BRIGGS ST",-76.1427257105255,43.0765003197738,3.16483516483516
"132",12580298,213,219,200,214,"WADSWORTH ST",-76.1389868626986,43.0710119924568,5.63736263736264
"133",12580787,223,299,222,298,"RIVOLI AVE",-76.1337017254905,43.078875675725,2.37362637362637
"134",12575526,1001,1099,1000,1098,"TURTLE ST",-76.1540120911983,43.0768216592873,4.35164835164835
"135",12575183,401,499,400,498,"UNION PL",-76.1555852767039,43.0651557486864,7.81318681318681
"136",12580292,101,179,100,176,"GREENLAND DR",-76.1412231796773,43.0721762566817,6.03296703296703
"137",12580677,235,299,234,298,"HUNTLEY ST",-76.1380642691623,43.0778737957398,2.57142857142857
"138",12580541,315,333,320,328,"GRANT BLVD",-76.1200677689138,43.0708235065898,2.57142857142857
"139",13028313,233,247,232,246,"WHEATON RD",-76.1262581731711,43.0701262031385,3.06593406593407
"140",13012342,133,199,134,198,"BEECHER ST",-76.1414895491573,43.0603138746534,7.61538461538461
"141",12580530,401,499,400,498,"WHEATON RD",-76.1263978182349,43.0721165320005,2.96703296703297
"142",12575562,1311,1399,1300,1398,"LEMOYNE AVE",-76.1527624155856,43.0805897999884,2.47252747252747
"143",12580674,101,199,100,198,"HARDING ST",-76.1380642691623,43.0778737957398,2.57142857142857
"144",12581180,201,299,200,298,"CULVER DR",-76.0971029505722,43.0657179253936,2.47252747252747
"145",12581080,101,199,100,198,"S EDWARDS AVE",-76.1063758780565,43.068852719843,2.27472527472527
"146",12581053,201,215,200,214,"COWIE AVE",-76.1138234383621,43.0729399229724,2.37362637362637
"147",12581049,101,109,100,108,"COWIE AVE",-76.1147432324601,43.0729004779073,2.37362637362637
"148",12575561,1301,1309,1216,1298,"LEMOYNE AVE",-76.1531029734391,43.080360398371,2.47252747252747
"149",12580580,201,209,200,214,"KENWOOD AVE",-76.1505266796018,43.0790426398236,3.16483516483516
"150",12580775,101,199,100,198,"ACADIA AVE",-76.1335530010354,43.0770932355548,2.57142857142857
"151",12580779,401,477,400,476,"PLEASANTVIEW AVE",-76.1343946104297,43.0770617260867,2.57142857142857
"152",12580544,101,199,100,198,"VILLAGE DRIVE EXT",-76.1200677689138,43.0708235065898,2.57142857142857
"153",12581260,201,299,200,298,"LAMSON ST",-76.1001309773374,43.0710537413141,1.58241758241758
"154",12580213,201,299,200,298,"CRAIG ST",-76.1468358745303,43.0696012298556,7.02197802197802
"155",12581091,201,299,200,298,"LILLIAN AVE",-76.1106044232967,43.069471365943,2.07692307692308
"156",12580554,1021,1099,1022,1098,"DANFORTH ST",-76.1522887674377,43.0735126570339,6.72527472527473
"157",12575514,101,199,100,198,"COURT TER",-76.1522887674377,43.0735126570339,6.72527472527473
"158",13012806,245,299,246,298,"LAFAYETTE RD",-76.1307924784788,42.9958720054637,0.494505494505495
"159",13001233,1,67,2,66,"PARK ST TO ONONDAGA LAKE PKWY RAMP",-76.1733779661963,43.0765901233255,1.87912087912088
"160",12580361,0,0,210,298,"SEDGWICK DR",-76.1302590758848,43.0646111588102,5.14285714285714
"161",12580509,201,299,200,298,"RUGBY RD",-76.1228837797339,43.0679378945925,2.76923076923077
"162",12580540,101,199,100,198,"GEORGE ST",-76.1194892280167,43.0705639769373,2.47252747252747
"163",12580425,201,299,200,298,"MOONEY AVE",-76.1200993559624,43.0628249169997,3.06593406593407
"164",12580111,1001,1099,1000,1098,"BUTTERNUT ST",-76.1433607651424,43.0640560703021,7.31868131868132
"165",12580531,701,799,700,798,"GRANT BLVD",-76.1264460783149,43.0728942618557,2.86813186813187
"166",12580582,303,399,300,398,"CADILLAC ST",-76.1504270301458,43.0791208625247,2.96703296703297
"167",12580303,221,299,216,298,"WADSWORTH ST",-76.1390065890096,43.0714537587727,5.04395604395604
"168",12580226,1101,1199,1100,1198,"POND ST",-76.1465850692232,43.0725111603759,6.82417582417582
"169",12575550,101,199,100,198,"BELLSHIRE LN",-76.1530397087458,43.0796256116162,3.16483516483516
"170",13001311,101,199,100,198,"TEX SIMONE DR",-76.1632842604101,43.0751160366571,3.26373626373626
"171",12580235,301,399,300,398,"KNAUL ST",-76.1407321663929,43.0665393365501,7.12087912087912
"172",12575307,501,599,500,598,"COURT ST",-76.1572861469416,43.0696512022665,7.31868131868132
"173",12580184,101,197,100,196,"FIRST NORTH ST",-76.1433440806191,43.0671048470184,7.12087912087912
"174",12575236,101,199,100,198,"EXCHANGE ST",-76.1655262625159,43.0714790210298,3.56043956043956
"175",12580672,901,999,900,998,"DARLINGTON RD",-76.1394767506154,43.080926321008,2.07692307692308
"176",12580782,325,399,324,398,"KENWICK DR",-76.1355155854418,43.0788120696268,2.47252747252747
"177",12580625,121,199,122,198,"HAROLD ST",-76.1414789863392,43.0748495753581,3.75824175824176
"178",12580705,701,799,700,798,"CADILLAC ST",-76.1467770389992,43.0819877739109,1.68131868131868
"179",12575249,301,399,300,398,"WOLF ST",-76.1643906470494,43.0710091992044,4.25274725274725
"180",12580612,101,199,100,198,"WELDON AVE",-76.1459808358595,43.0803477127664,1.97802197802198
"181",13012405,0,0,208,298,"FIRST NORTH ST",-76.1453146321027,43.067902798434,7.21978021978022
"182",12580622,101,119,100,120,"HAROLD ST",-76.142557998644,43.0748089451803,4.15384615384615
"183",12580312,1411,1421,1400,1412,"GRANT BLVD",-76.1362008416437,43.072416227938,3.85714285714286
"184",12575255,401,499,400,498,"BEAR ST",-76.1612496780265,43.0697509318769,6.13186813186813
"185",12575541,107,199,106,198,"SIXTH NORTH ST",-76.1563481102077,43.0801813568682,2.67032967032967
"186",12575479,501,599,500,598,"WOLF ST",-76.1626597269088,43.0733011758206,3.56043956043956
"187",12577304,101,199,100,198,"GLASS TER",-76.1421694537392,43.0284847257236,3.06593406593407
"188",12580306,1601,1699,1600,1698,"GRANT BLVD",-76.1380636468221,43.0723295114772,4.25274725274725
"189",12575234,1701,1799,1700,1798,"N SALINA ST",-76.1652419275639,43.0698605780818,4.25274725274725
"190",12581028,101,199,100,198,"LEA LN",-76.1179595191027,43.0720461962832,2.37362637362637
"191",13001322,2101,2149,2100,2148,"PARK ST",-76.169664434665,43.073647026778,2.47252747252747
"192",12575551,233,255,232,254,"SEVENTH NORTH ST",-76.1522749710234,43.0790975475738,3.56043956043956
"193",12575529,201,299,200,298,"FOURTH NORTH ST",-76.1590809300088,43.0781208006851,3.16483516483516
"194",12575558,1201,1299,1200,1214,"LEMOYNE AVE",-76.1536365881068,43.0800319646166,2.67032967032967
"195",12575557,257,299,256,298,"SEVENTH NORTH ST",-76.1530397087458,43.0796256116162,3.16483516483516
"196",12580234,201,211,200,210,"KNAUL ST",-76.141714612716,43.0664930529162,7.12087912087912
"197",12575311,1401,1499,1400,1498,"FIRST NORTH ST",-76.1586345092213,43.0732599173308,5.34065934065934
"198",12581031,101,119,100,118,"LINWILL TER",-76.1167722048167,43.0720599559677,2.37362637362637
"199",12575325,301,319,300,318,"SECOND NORTH ST",-76.1546387099888,43.0732089847751,6.32967032967033
"200",12580736,2201,2215,2200,2216,"COURT ST",-76.140483653485,43.0816265258796,1.78021978021978
"201",12580711,201,299,150,298,"HARFORD RD",-76.1443013848756,43.0825393844009,1.28571428571429
"202",12580526,201,299,200,298,"FORDHAM RD",-76.1253320060726,43.0712854417617,2.96703296703297
"203",12580773,301,323,300,322,"KENWICK DR",-76.1353323303511,43.0765223005752,2.76923076923077
"204",13012549,69,71,68,70,"ONONDAGA LAKE PKWY TO PARK ST RAMP",-76.1755377628956,43.076709641332,1.58241758241758
"205",12575264,501,599,500,598,"LEMOYNE AVE",-76.1619525341577,43.0715322224889,4.64835164835165
"206",13002322,451,499,450,498,"SB WEST STREET ARTERIAL",-76.158509916051,43.0534055011165,8.8021978021978
"207",12580408,301,399,300,398,"SHUART AVE",-76.1264293284042,43.0611673783246,4.15384615384615
"208",12575170,201,299,200,298,"ISABELLA ST",-76.1550479467754,43.0629554048407,8.10989010989011
"209",12580084,121,131,120,120,"BEECHER ST",-76.1421639388524,43.059975702734,7.71428571428571
"210",12575308,1201,1299,1200,1298,"SPRING ST",-76.1564227239895,43.0708033657869,7.31868131868132
"211",12581094,301,399,300,398,"TYSON PL",-76.1096636557737,43.0706238596973,1.97802197802198
"212",12580657,101,199,100,198,"MALVERNE DR",-76.1413948442001,43.0780300008493,2.86813186813187
"213",12580304,1701,1799,1700,1798,"GRANT BLVD",-76.139029640232,43.0722814871443,4.64835164835165
"214",12580671,2101,2199,2100,2198,"COURT ST",-76.1412927522473,43.0811711523115,1.87912087912088
"215",12575200,1601,1699,1600,1698,"N SALINA ST",-76.1636706171929,43.0692326620728,4.84615384615385
"216",12580656,1717,1799,1800,1802,"COURT ST",-76.1438487162586,43.0797530324939,1.97802197802198
"217",13028356,203,215,202,214,"BERKSHIRE AVE",-76.1388205761777,43.0757129094238,3.46153846153846
"218",12580521,201,299,200,298,"GEORGE ST",-76.1201615256011,43.0697473381801,2.57142857142857
"219",12575597,1001,1099,1000,1098,"HIAWATHA BLVD E",-76.1587541415574,43.0811893290312,1.87912087912088
"220",13001306,301,369,300,360,"SIXTH NORTH ST",-76.1587541415574,43.0811893290312,1.87912087912088
"221",12580076,201,299,200,298,"SEWARD ST",-76.1436817991136,43.0594986386744,8.50549450549451
"222",12581029,201,225,200,222,"VILLAGE DR",-76.1179595191027,43.0720461962832,2.37362637362637
"223",12580780,301,399,300,398,"WAINWRIGHT AVE",-76.1335530010354,43.0770932355548,2.57142857142857
"224",12580048,157,199,158,198,"MARY ST",-76.1493314352218,43.0645191462954,7.71428571428571
"225",12581105,501,599,500,598,"COUGHLIN AVE",-76.1077483007364,43.0735720846061,2.17582417582418
"226",12581362,301,399,300,398,"DUNLAP AVE",-76.1132748741835,43.0758008678362,2.37362637362637
"227",12580707,301,399,300,398,"HARFORD RD",-76.144995095244,43.0831911848761,1.38461538461538
"228",12581410,301,391,300,390,"N COLLINGWOOD AVE",-76.1077483007364,43.0735720846061,2.17582417582418
"229",12580615,1101,1119,1100,1118,"WADSWORTH ST",-76.1446058859002,43.0814149499932,1.58241758241758
"230",12580921,301,389,300,388,"SUNNYCREST RD",-76.1121161355235,43.0615390167941,3.16483516483516
"231",13006126,109,109,0,0,"GRANT BLVD",-76.115634015329,43.0683856764016,2.07692307692308
"232",12580568,101,139,100,138,"SEVENTH NORTH ST",-76.1491080338382,43.0768707054515,3.75824175824176
"233",12580655,101,199,100,198,"LOMA AVE",-76.1421194474609,43.0774781264641,2.96703296703297
"234",12575252,1201,1207,1200,1208,"CARBON ST",-76.1619525341577,43.0715322224889,4.64835164835165
"235",13001282,1,99,2,98,"PARK ST FROM NB I 81 RAMP",-76.1686478263158,43.0711963685103,3.36263736263736
"236",12581019,2433,2499,2400,2428,"JAMES ST",-76.1127510756098,43.0685482101259,2.07692307692308
"237",13001315,301,399,300,398,"FOURTH NORTH ST",-76.1605879920157,43.0787249574091,2.57142857142857
"238",12580662,1801,1899,1804,1898,"COURT ST",-76.1436998037039,43.0798361483723,1.97802197802198
"239",12580534,503,545,502,544,"GRANT BLVD",-76.1236619952994,43.0724321315977,2.96703296703297
"240",12580051,1001,1099,1000,1098,"PARK ST",-76.1481254250325,43.0645186009101,7.61538461538461
"241",12575182,301,399,300,398,"UNION PL",-76.1555516570611,43.0644896780885,8.01098901098901
"242",12575181,2101,2199,2100,2198,"LODI ST",-76.1555516570611,43.0644896780885,8.01098901098901
"243",12580229,2201,2299,2124,2298,"GRANT BLVD",-76.1443564427317,43.0729500966213,6.13186813186813
"244",12580545,1701,1713,1700,1724,"TEALL AVE",-76.1230972836612,43.0713785419978,2.96703296703297
"245",12580171,301,399,300,398,"JOHN ST",-76.1463798267946,43.0652704437549,7.31868131868132
"246",12580441,1001,1099,1000,1098,"RUGBY RD",-76.1341156195288,43.0669786665523,5.63736263736264
"247",12580445,401,499,400,498,"HELEN ST",-76.1352049839187,43.0669331984281,6.03296703296703
"248",12580561,0,0,100,118,"WILLUMAE DR",-76.1502860405141,43.0763599601043,4.45054945054945
"249",12580611,201,299,200,298,"LOMA AVE",-76.1445691912348,43.0793615881367,1.97802197802198
"250",12575554,301,399,300,398,"SEVENTH NORTH ST",-76.1536365881068,43.0800319646166,2.67032967032967
"251",12580933,201,299,200,298,"CLIFTON PL",-76.1166769403008,43.0644893565724,2.76923076923077
"252",12581236,101,199,100,198,"CULVER DR",-76.0972972391263,43.0664929394421,2.27472527472527
"253",12580237,1215,1299,1216,1234,"BUTTERNUT ST",-76.1433440806191,43.0671048470184,7.12087912087912
"254",12580056,401,437,400,438,"S ALVORD ST",-76.1448984978689,43.0616807267208,7.61538461538461
"255",13018574,401,449,400,448,"NB WEST STREET ARTERIAL",-76.1582960566277,43.0529996565163,8.8021978021978
"256",12581068,101,199,100,198,"HILLSDALE AVE",-76.1088322741185,43.0687372166685,2.27472527472527
"257",12580300,1301,1399,1300,1398,"OAK ST",-76.1365032893662,43.0693630167611,5.24175824175824
"258",12581060,201,219,200,218,"BEACON RD",-76.113010510147,43.073456227748,2.37362637362637
"259",12580088,201,299,200,298,"BEECHER ST",-76.1413132077457,43.0603905376466,7.51648351648352
"260",12580507,201,299,200,298,"GRAY AVE",-76.1252126167127,43.069339803922,3.16483516483516
"261",12580542,335,411,338,404,"GRANT BLVD",-76.1207155206545,43.0711114320063,2.57142857142857
"262",12575539,1001,1099,1000,1098,"WOLF ST",-76.1581880960277,43.0793188436562,2.67032967032967
"263",13008047,101,199,100,198,"HIAWATHA PL",-76.1581880960277,43.0793188436562,2.67032967032967
"264",12575185,101,199,100,198,"POND ST",-76.1534129461714,43.0633619887946,7.71428571428571
"265",12575233,101,199,100,198,"HIAWATHA BLVD E",-76.1670888150394,43.0706606189148,3.56043956043956
"266",12575235,201,299,200,298,"WOLF ST",-76.1652419275639,43.0698605780818,4.25274725274725
"267",12581273,1501,1599,1500,1598,"NORTHCLIFFE RD",-76.0943379933488,43.0670286290145,2.07692307692308
"268",12580584,401,403,400,404,"CADILLAC ST",-76.1496500160639,43.0797429890618,2.27472527472527
"269",12581216,1601,1699,1600,1698,"GLENCOVE RD",-76.0904485990104,43.064829904588,1.78021978021978
